"";"Match Id";"Match day of the week";"Match day of the month";"Match month";"Match year";"Match Name";"Match Stage";"Match Type";"Match Time";"Match Score Type";"Match Note";"Team1";"Score";"Elo Number";"Team2";"Score.1";"Elo Number.1";"Betting line"
"3022";145;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group D";"11:30 PM IST";"final";"Bo1";"DPE";"1";NA;"LUJAika";"0";NA;NA
"3070";146;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group D";"9:30 PM IST";"final";"Bo1";"OldTownRoad";"0";NA;"fish123";"1";NA;NA
"3147";147;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group D";"10:30 PM IST";"final";"Bo1";"OldTownRoad";"1";NA;"LUJAika";"0";NA;NA
"3199";148;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group D";"10:30 PM IST";"final";"Bo1";"DPE";"0";NA;"fish123";"1";NA;NA
"3260";149;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group D";"11:30 PM IST";"final";"Bo1";"DPE";"0";NA;"OldTownRoad";"1";NA;NA
"3337";150;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group D";"11:30 PM IST";"forfeited by LUJAika";"Bo1";"LUJAika";"0";NA;"fish123";"0";NA;NA
"3412";151;"Friday";15;"5";2020;"Solary Cup";"Playoffs";"Quarterfinals";"9:30 PM IST";"final";"Bo3";"Uruguay 3";"0";NA;"StartedFromCS";"2";NA;NA
"3550";152;"Friday";15;"5";2020;"Solary Cup";"Playoffs";"Quarterfinals";"9:30 PM IST";"final";"Bo3";"fish123";"2";NA;"BlackBelts";"1";NA;NA
"3588";153;"Friday";15;"5";2020;"Solary Cup";"Playoffs";"Quarterfinals";"9:30 PM IST";"final";"Bo3";"HypHypHyp";"2";NA;"InetGamer";"1";NA;NA
"3629";154;"Friday";15;"5";2020;"Solary Cup";"Playoffs";"Quarterfinals";"9:30 PM IST";"final";"Bo3";"Prodigy";"2";NA;"Demise";"0";NA;NA
"3674";156;"Sunday";17;"5";2020;"Solary Cup";"Playoffs";"Seminfinals";"9:30 PM IST";"final";"Bo3";"HypHypHyp";"1";NA;"Prodigy";"2";NA;NA
"3739";157;"Sunday";17;"5";2020;"Solary Cup";"Playoffs";"Grand Final";"11:30 PM IST";"final";"Bo3";"fish123";"2";NA;"Prodigy";"1";NA;NA
